RESULTADO 30 EJECUCIONES EN N ENTORNOS DISTINTOS (PROMEDIO);;;;;;
;BFS;DFS;DLS;UCS;RandomAgent;AStar
states_n;;;;;;
cost_e1;;;;;;
cost_e2;;;;;;
time;;;;;;
cont_found;;;;;;
states_n;335.6;;;;;
cost_e1;335.6;;;;;
cost_e2;3095.2;;;;;
time;0.0033173561096191406;;;;;
cont_found;5;;;;;
states_n;;240.5;;;;
cost_e1;;240.5;;;;
cost_e2;;2198.0;;;;
time;;0.016906221707661945;;;;
cont_found;;6;;;;
states_n;;;;546.1666666666666;;
cost_e1;;;;545.1666666666666;;
cost_e2;;;;5002.166666666667;;
time;;;;0.0036862691243489585;;
cont_found;;;;6;;
states_n;;;25.0;;;
cost_e1;;;76.0;;;
cost_e2;;;185.0;;;
time;;;0.00024390220642089844;;;
cont_found;;;2;;;
states_n;;;;;61.0;
cost_e1;;;;;125.0;
cost_e2;;;;;326.0;
time;;;;;0.001245737075805664;
cont_found;;;;;1;
states_n;;;;;30.0;
cost_e1;;;;;62.5;
cost_e2;;;;;157.0;
time;;;;;0.0003185272216796875;
cont_found;;;;;2;
states_n;;;;;;347.2
cost_e1;;;;;;1284.55
time;;;;;;0.007439994812011718
cont_found;;;;;;20
