Algoritmo,N,Porcentaje_Exitos,Tiempo_Promedio,Tiempo_Desviacion,Estados_Promedio,Estados_Desviacion
Genético,4,100.0,0.0029291788736979167,0.001611801532035823,160.0,96.84683962230046
Genético,8,73.33333333333333,0.33828191323713824,0.4365694334664615,11136.363636363636,14205.483362974932
Genético,10,50.0,1.3551355838775634,1.4484587086130025,33953.333333333336,36294.93995954073
Genético,12,40.0,2.086121916770935,1.5041821119709922,39233.333333333336,28488.5091135909
Genético,15,13.333333333333334,3.562417209148407,2.4891012892135933,46175.0,32122.720411986695
Hill Climbing,4,40.0,7.305542627970378e-05,3.69173791421516e-05,2.0,1.1281521496355325
Hill Climbing,8,23.333333333333332,0.0015926361083984375,0.0002860751072893305,4.0,0.5773502691896257
Hill Climbing,10,0.0,,,,
Hill Climbing,12,0.0,,,,
Hill Climbing,15,3.3333333333333335,0.04667091369628906,,9.0,
Simulated Annealing,4,100.0,0.0007369597752888997,0.00043006194934363314,137.46666666666667,82.93110282693674
Simulated Annealing,8,23.333333333333332,0.005716051374162946,0.00040976627472691097,598.1428571428571,40.68754343132785
Simulated Annealing,10,3.3333333333333335,0.008259296417236328,,651.0,
Simulated Annealing,12,3.3333333333333335,0.011625528335571289,,673.0,
Simulated Annealing,15,0.0,,,,
