Algoritmo,N,Run,Solucion,H,Optimo,Tiempo,Estados_Evaluados
Hill Climbing,4,1,"[2, 0, 3, 1]",0,True,0.00012135505676269531,3
Simulated Annealing,4,1,"[1, 3, 0, 2]",0,True,0.0004253387451171875,81
Genético,4,1,"[1, 3, 0, 2]",0,True,0.001984834671020508,100
Hill Climbing,4,2,"[2, 0, 3, 1]",0,True,0.00010395050048828125,3
Simulated Annealing,4,2,"[2, 0, 3, 1]",0,True,0.00014495849609375,26
Genético,4,2,"[2, 0, 3, 1]",0,True,0.0019071102142333984,100
Hill Climbing,4,3,"[0, 3, 1, 2]",1,False,7.390975952148438e-05,1
Simulated Annealing,4,3,"[2, 0, 3, 1]",0,True,0.0004622936248779297,82
Genético,4,3,"[1, 3, 0, 2]",0,True,0.0020024776458740234,100
Hill Climbing,4,4,"[1, 3, 0, 2]",0,True,7.772445678710938e-05,2
Simulated Annealing,4,4,"[2, 0, 3, 1]",0,True,0.0004887580871582031,90
Genético,4,4,"[1, 3, 0, 2]",0,True,0.0019249916076660156,100
Hill Climbing,4,5,"[1, 3, 0, 2]",0,True,0.00010251998901367188,3
Simulated Annealing,4,5,"[2, 0, 3, 1]",0,True,0.001043081283569336,196
Genético,4,5,"[1, 3, 0, 2]",0,True,0.0035490989685058594,200
Hill Climbing,4,6,"[3, 0, 2, 1]",1,False,9.655952453613281e-05,2
Simulated Annealing,4,6,"[2, 0, 3, 1]",0,True,0.00033164024353027344,64
Genético,4,6,"[1, 3, 0, 2]",0,True,0.003549814224243164,200
Hill Climbing,4,7,"[1, 3, 0, 2]",0,True,4.291534423828125e-05,1
Simulated Annealing,4,7,"[1, 3, 0, 2]",0,True,0.0009438991546630859,156
Genético,4,7,"[2, 0, 3, 1]",0,True,0.002298593521118164,100
Hill Climbing,4,8,"[1, 3, 0, 2]",0,True,8.988380432128906e-05,2
Simulated Annealing,4,8,"[1, 3, 0, 2]",0,True,0.0005183219909667969,83
Genético,4,8,"[2, 0, 3, 1]",0,True,0.003993034362792969,200
Hill Climbing,4,9,"[3, 1, 0, 2]",1,False,0.00011467933654785156,2
Simulated Annealing,4,9,"[1, 3, 0, 2]",0,True,0.001129150390625,180
Genético,4,9,"[1, 3, 0, 2]",0,True,0.0018544197082519531,100
Hill Climbing,4,10,"[1, 3, 0, 2]",0,True,9.608268737792969e-05,3
Simulated Annealing,4,10,"[2, 0, 3, 1]",0,True,0.0005407333374023438,104
Genético,4,10,"[2, 0, 3, 1]",0,True,0.004190206527709961,200
Hill Climbing,4,11,"[3, 0, 2, 1]",1,False,9.274482727050781e-05,1
Simulated Annealing,4,11,"[1, 3, 0, 2]",0,True,0.000400543212890625,69
Genético,4,11,"[1, 3, 0, 2]",0,True,0.004096508026123047,200
Hill Climbing,4,12,"[0, 3, 1, 2]",1,False,0.00010418891906738281,2
Simulated Annealing,4,12,"[1, 3, 0, 2]",0,True,0.0006277561187744141,109
Genético,4,12,"[1, 3, 0, 2]",0,True,0.00223541259765625,100
Hill Climbing,4,13,"[2, 0, 1, 3]",1,False,7.200241088867188e-05,1
Simulated Annealing,4,13,"[2, 0, 3, 1]",0,True,0.0010371208190917969,183
Genético,4,13,"[2, 0, 3, 1]",0,True,0.008550882339477539,500
Hill Climbing,4,14,"[2, 0, 3, 1]",0,True,6.580352783203125e-05,2
Simulated Annealing,4,14,"[1, 3, 0, 2]",0,True,1.430511474609375e-05,1
Genético,4,14,"[2, 0, 3, 1]",0,True,0.0033791065216064453,200
Hill Climbing,4,15,"[0, 3, 1, 2]",1,False,9.250640869140625e-05,2
Simulated Annealing,4,15,"[1, 3, 0, 2]",0,True,0.00044226646423339844,84
Genético,4,15,"[2, 0, 3, 1]",0,True,0.006705522537231445,400
Hill Climbing,4,16,"[3, 1, 0, 2]",1,False,9.894371032714844e-05,2
Simulated Annealing,4,16,"[1, 3, 0, 2]",0,True,0.0014450550079345703,284
Genético,4,16,"[2, 0, 3, 1]",0,True,0.001800537109375,100
