Algoritmo,N,Porcentaje_Exitos,Tiempo_Promedio,Tiempo_Desviacion,Estados_Promedio,Estados_Desviacion
Backtracking,4,100.0,1.2699762980143229e-05,9.838886570508142e-07,6.0,0.0
Backtracking,8,100.0,0.000540455182393392,4.8867610091900805e-05,28.0,0.0
Backtracking,10,100.0,0.0008062283198038737,0.0001212933759954165,45.0,0.0
Backtracking,12,100.0,0.0025174299875895183,0.00013805002597288942,66.0,0.0
Backtracking,15,100.0,0.01866493225097656,0.0004939343961868984,105.0,0.0
Forward Checking,4,100.0,2.5057792663574217e-05,2.1208211914735566e-06,6.0,0.0
Forward Checking,8,100.0,0.0003916184107462565,4.6487625218897614e-05,28.0,0.0
Forward Checking,10,100.0,0.0005337953567504883,0.00012962418708751936,45.0,0.0
Forward Checking,12,100.0,0.0011538346608479819,7.60698092020772e-05,66.0,0.0
Forward Checking,15,100.0,0.0067279974619547525,0.0002728631699050591,105.0,0.0
