Algoritmo,N,Run,Solucion,H,Optimo,Tiempo,Estados_Evaluados
Backtracking,4,1,"[1, 3, 0, 2]",0,True,1.7642974853515625e-05,6
Forward Checking,4,1,"[1, 3, 0, 2]",0,True,3.147125244140625e-05,6
Backtracking,4,2,"[1, 3, 0, 2]",0,True,1.3589859008789062e-05,6
Forward Checking,4,2,"[1, 3, 0, 2]",0,True,2.6464462280273438e-05,6
Backtracking,4,3,"[1, 3, 0, 2]",0,True,1.33514404296875e-05,6
Forward Checking,4,3,"[1, 3, 0, 2]",0,True,2.574920654296875e-05,6
Backtracking,4,4,"[1, 3, 0, 2]",0,True,1.239776611328125e-05,6
Forward Checking,4,4,"[1, 3, 0, 2]",0,True,2.5272369384765625e-05,6
Backtracking,4,5,"[1, 3, 0, 2]",0,True,1.2636184692382812e-05,6
Forward Checking,4,5,"[1, 3, 0, 2]",0,True,2.47955322265625e-05,6
Backtracking,4,6,"[1, 3, 0, 2]",0,True,1.2874603271484375e-05,6
Forward Checking,4,6,"[1, 3, 0, 2]",0,True,2.47955322265625e-05,6
Backtracking,4,7,"[1, 3, 0, 2]",0,True,1.239776611328125e-05,6
Forward Checking,4,7,"[1, 3, 0, 2]",0,True,2.4318695068359375e-05,6
Backtracking,4,8,"[1, 3, 0, 2]",0,True,1.2636184692382812e-05,6
Forward Checking,4,8,"[1, 3, 0, 2]",0,True,2.4318695068359375e-05,6
Backtracking,4,9,"[1, 3, 0, 2]",0,True,1.239776611328125e-05,6
Forward Checking,4,9,"[1, 3, 0, 2]",0,True,2.4318695068359375e-05,6
Backtracking,4,10,"[1, 3, 0, 2]",0,True,1.239776611328125e-05,6
Forward Checking,4,10,"[1, 3, 0, 2]",0,True,2.4318695068359375e-05,6
Backtracking,4,11,"[1, 3, 0, 2]",0,True,1.2159347534179688e-05,6
Forward Checking,4,11,"[1, 3, 0, 2]",0,True,2.4318695068359375e-05,6
Backtracking,4,12,"[1, 3, 0, 2]",0,True,1.2874603271484375e-05,6
Forward Checking,4,12,"[1, 3, 0, 2]",0,True,2.5033950805664062e-05,6
Backtracking,4,13,"[1, 3, 0, 2]",0,True,1.239776611328125e-05,6
Forward Checking,4,13,"[1, 3, 0, 2]",0,True,2.4318695068359375e-05,6
Backtracking,4,14,"[1, 3, 0, 2]",0,True,1.239776611328125e-05,6
Forward Checking,4,14,"[1, 3, 0, 2]",0,True,3.361701965332031e-05,6
